x,y,z,q0,q1,q2,q3,U
   4.5000000    ,   0.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124282                     
   4.5000000    ,   0.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124282                     
   4.5000000    ,   0.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.124174                     
   4.5000000    ,   0.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123495                     
   4.5000000    ,   0.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123387                     
   4.5000000    ,   0.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   1.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   1.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   4.5000000    ,   1.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123387                     
   4.5000000    ,   1.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123914                     
   4.5000000    ,   1.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123990                     
   4.5000000    ,   1.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123990                     
   4.5000000    ,   1.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123914                     
   4.5000000    ,   1.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123387                     
   4.5000000    ,   1.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123311                     
   4.5000000    ,   1.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   2.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   3.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   -4.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   -3.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   -2.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   -1.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   -0.500000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   0.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   1.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   2.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   3.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
   4.5000000    ,   4.5000000    ,   4.5000000    ,   1.0000000    ,   0.00000000   ,   0.00000000   ,   0.00000000   ,                     -0.123047                     
